"username","amount"
"Starchychaff","5e+05"
"TheWoZy","5e+05"
"Rich","5e+05"
"EmoLeBron","5e+05"
"AuggieO","5e+05"
"Dextaria","6e+05"
"Baron1898","6e+05"
"Conraddvd","6e+05"
"damienj10","6e+05"
"ThePyroAlpaca","6e+05"
"ZodiacEXE","6e+05"
"Rookyi","6e+05"
"JNH","6e+05"
"Mongoose87","6e+05"
"ocho","6e+05"
"Schocar","6e+05"
"Tdan04","6e+05"
"ztevans","6e+05"
"Tesla","6e+05"
"BANACKOCK","6e+05"
"NorwegianDemon","6e+05"
"Magenta","6e+05"
"BarnabasCollins","6e+05"
"CybershadeEDM","6e+05"
"HanTheMan_","6e+05"
"MattyIce","6e+05"
"Gaia Mormont","6e+05"
"Shiamus","6e+05"
"Dewalt27","6e+05"
"MrPresident","6e+05"
"Thunfish","6e+05"
"Brenadyr","6e+05"
"Katth","6e+05"
"OblivionWalker","6e+05"
"charlieconway","6e+05"
"Bluedog25123","6e+05"
"Inf1d3l","6e+05"
"Astro","6e+05"
"tomtommen","6e+05"
"AJW","6e+05"
"Operation Ivy","6e+05"
"soulja","6e+05"
"Mooty99","6e+05"
"LampLighter","6e+05"
"Mtstreaks04","6e+05"
"Ara","6e+05"
"saggylumps","6e+05"
"anuragb","6e+05"
"Nike","6e+05"
"FuriousChicken","6e+05"
"Noruoficeland","6e+05"
"DarthDaevin","6e+05"
"DETisHockeytown","6e+05"
"SilverBlitzenAG","6e+05"
"Caspwad","6e+05"
"Ivornen","6e+05"
"NYR73","6e+05"
"By-Tor","6e+05"
"Massive Coiler","6e+05"
"LeakyCink","6e+05"
"NordicNailer","6e+05"
"Chris","6e+05"
"Arkz","6e+05"
"Deli","6e+05"
"Muerto","6e+05"
"skyrrhawk","6e+05"
"ZootTX","6e+05"
"spidey","6e+05"
"Dangles13","6e+05"
"Tripl3tsGamer","6e+05"
"Dash","6e+05"
"KalixIzalumi","6e+05"
"Accka","6e+05"
"Esso2264","6e+05"
"the5urreal","6e+05"
"Carpy48","6e+05"
"SpartanGibbles","6e+05"
"Zinny","6e+05"
"ctots","6e+05"
"NamesMonday","6e+05"
"Lime","6e+05"
"Renomitsu","6e+05"
"cbx","6e+05"
"plummdogmillionaire","6e+05"
"egregious","6e+05"
"No Goal","6e+05"
"PixelNick13","6e+05"
"Jimbo1990","6e+05"
"kb.m","6e+05"
"bbjygm","6e+05"
"oknom","6e+05"
"Andy","6e+05"
"jaypc8237","6e+05"
"RLG91","6e+05"
"micool132","6e+05"
"matt","6e+05"
"Ronniewalker","6e+05"
"swoosh","6e+05"
"Soviet Sexpot","6e+05"
"JohnFranklinKennedy","6e+05"
"ByrdeMan","6e+05"
"Bfine","6e+05"
"FaraDian","6e+05"
"Beavie","6e+05"
"Zag","6e+05"
"Jonnyhockey17","6e+05"
"Nol15736","6e+05"
"Marmelad","6e+05"
"Rtpc31","6e+05"
"bobdigi9","6e+05"
"NUCK","6e+05"
"Marshi","6e+05"
"Durodo","6e+05"
"retuperkele","6e+05"
"sliceruser","6e+05"
"Keven","6e+05"
"Scrufdaddy","6e+05"
"theevilisback","6e+05"
"NJBadApple","6e+05"
"Jagg102","6e+05"
"Stamkos Is My Dad","6e+05"
"Tmoney6996","6e+05"
"HoodRatRoyalty","6e+05"
"EricNCSU","6e+05"
"Rokkat","6e+05"
"HillsHaveHats","6e+05"
"hockeyfan","6e+05"
"Gallade081","6e+05"
"hockeymil","6e+05"
"cowbutch","6e+05"
"TomServo","6e+05"
"ShadowFenix","6e+05"
"zaynzk","6e+05"
"Vice","6e+05"
"MuNk22","6e+05"
"Weaves","6e+05"
"Vrain","6e+05"
"ColonelSaunders","6e+05"
"Puppy","6e+05"
"iamslm22","6e+05"
"Giof","6e+05"
"Atheist_Caliph","6e+05"
"prattk1987","6e+05"
"Popol","6e+05"
"SupriZe","6e+05"
"puolivalmiste","6e+05"
"parky","6e+05"
"GabeyD","6e+05"
"CapnCooper","6e+05"
"Zerg","6e+05"
"Heppis","6e+05"
"Salming","6e+05"
"McBjorner","6e+05"
"Urq660","6e+05"
"TipToasty","6e+05"
"lunaripcole","6e+05"
"efischermann","6e+05"
"bluesfan55","6e+05"
"steviey","6e+05"
"jason97","6e+05"
"5ympathies","6e+05"
"LilGainz901","6e+05"
"Anthique","6e+05"
"LukeToussaint","6e+05"
"patricianlobster","6e+05"
"leafsftw1967","6e+05"
"a_canuck","6e+05"
"Dziadek93","6e+05"
"LGRW613","6e+05"
"hhh81","6e+05"
"CementHands","6e+05"
"Le Thrill","6e+05"
"Bingo97","6e+05"
"schotte74","6e+05"
"dude_man","6e+05"
"ItZSmalls","6e+05"
"slothfacekilla","6e+05"
"BXM","6e+05"
"steveoiscool","6e+05"
"Toaster","6e+05"
"Just-Here-To-not-Get-Fined","6e+05"
"FingolfinandRingil","6e+05"
"Vandy","6e+05"
"Tate","6e+05"
"WildfireMicro","6e+05"
"anywheresoundsnice","6e+05"
"visceralpotamus","6e+05"
"jackkmart","6e+05"
"SMFJ","6e+05"
"ibuprofenaddict","6e+05"
"RainDelay","6e+05"
"JamesT","6e+05"
"Chevy","6e+05"
"Otis Boudreaux","6e+05"
"Flyerfan9988","6e+05"
"Troy_McClure03","6e+05"
"sobrien6187","6e+05"
"Vulfzilla","6e+05"
"leviadan","6e+05"
"xNJRangerFanx","6e+05"
"Louchyz","6e+05"
"ValorX77","6e+05"
"FourFour","6e+05"
"scudmuffin19","6e+05"
"ghamss","6e+05"
"Elad315","6e+05"
"OrbitingDeath","6e+05"
"CaptainCamel","6e+05"
"Ricer13","6e+05"
"Ashes","6e+05"
"Southie","6e+05"
"Moreorless89","6e+05"
"Prayl07","6e+05"
"Blues","6e+05"
"icewindoo","6e+05"
"RoyRivers","6e+05"
"Rojjter","6e+05"
"Chris-McZehrl","6e+05"
