"username","amount"
"Mongoose87","1e+05"
"Morethanjustaguy","1e+05"
"Dynamicmlb_42","1e+05"
"Melody Gearhart","1e+05"
"Pelochyta","1e+05"
"HabsFanFromOntario","1e+05"
"jbz","1e+05"
"Frenchie","1e+05"
"Inf1d3l","1e+05"
"JohnFranklinKennedy","1e+05"
"Seaside","1e+05"
"fancey13","1e+05"
"WannabeFinn","1e+05"
"NYR73","2e+05"
"sadie","2e+05"
"dogwoodmaple","2e+05"
"skyrrhawk","2e+05"
"ihatereyson","2e+05"
"Duff101","2e+05"
"Habsfan_nick","2e+05"
"Daleks","2e+05"
"Toast","2e+05"
"kb.m","2e+05"
"DETisHockeytown","2e+05"
"Shiamus","2e+05"
"RobJG2","2e+05"
"Andy","2e+05"
"Raf_TML","2e+05"
"Suneater","2e+05"
"SilverBlitzenAG","2e+05"
"Zerg","2e+05"
"oknom","2e+05"
"ANARossJohnstonFan44","2e+05"
"babufrik","2e+05"
"AuggieO","2e+05"
"Dextaria","2e+05"
"ThisSeemsFishy","2e+05"
"corbz","2e+05"
"lemonoppy","2e+05"
"frithjofr","2e+05"
"JuOSu","2e+05"
"daghostinside","2e+05"
"BANACKOCK","2e+05"
"LeakyCink","2e+05"
"Rojjter","2e+05"
"hockeyfan","2e+05"
"vendettaca","2e+05"
"jaypc8237","2e+05"
"Michiganonymous","2e+05"
"amjohnson636","2e+05"
"Puppy","2e+05"
".Laser","2e+05"
"Allegiant","2e+05"
"mkp224","2e+05"
"a_canuck","2e+05"
"mattebleu","3e+05"
"NYRangers","3e+05"
"Jjweimar","3e+05"
"billiebee","3e+05"
"yosh","3e+05"
"Vulfzilla","3e+05"
"Kami1931","4e+05"
"cowbutch","4e+05"
"VerdantSky","4e+05"
"MattyIce","4e+05"
"Jorec","4e+05"
"Papajon","4e+05"
"TipToasty","4e+05"
"LadyLunaria","4e+05"
"RainDelay","4e+05"
"Baron1898","4e+05"
"swoosh","4e+05"
"Juho","4e+05"
"plummdogmillionaire","4e+05"
"Caspwad","4e+05"
"OhhClampz","4e+05"
"Clint Eastwood","4e+05"
"brolafleur9","4e+05"
"DigDoug11","4e+05"
"Marshi","4e+05"
"bbp","4e+05"
"Louchyz","4e+05"
"sköldpaddor","4e+05"
"Toaster","4e+05"
"bobdigi9","4e+05"
"Sajkashi","4e+05"
"KalixIzalumi","4e+05"
"bjkman","4e+05"
"Shmelmorg","4e+05"
"NorwegianDemon","4e+05"
"jreiser18","4e+05"
"Toivo","4e+05"
"ibuprofenaddict","4e+05"
"Jonnyhockey17","4e+05"
"ephenssta","4e+05"
"Chevy","4e+05"
"Rtpc31","4e+05"
"roastpuff","4e+05"
"visceralpotamus","5e+05"
"homercrates","5e+05"
"Rich","5e+05"
"ShadowFenix","6e+05"
"Carpy48","6e+05"
"Scrufdaddy","6e+05"
"xenosthelegend","6e+05"
"egregious","6e+05"
"micool132","6e+05"
"vbottas17","6e+05"
"Huck24","6e+05"
"CybershadeEDM","6e+05"
"zeagle1","6e+05"
"sixhausen","6e+05"
"BoxOfRox","6e+05"
"Nike","6e+05"
"NessleKrunk","6e+05"
"MrPresident","6e+05"
"Kikou","6e+05"
"Turbanator","6e+05"
"MyLittleHexx","6e+05"
"Southie","6e+05"
"Renomitsu","6e+05"
"efischermann","6e+05"
"roquefort","6e+05"
"Beavie","6e+05"
"Pandar","6e+05"
"Tesla","6e+05"
"mcpumpkin","6e+05"
"Bluedog25123","6e+05"
"Thunfish","6e+05"
"WillySaad","6e+05"
"icnatspel","6e+05"
"sobrien6187","6e+05"
"Arkz","6e+05"
"soulja","6e+05"
"Valpix","6e+05"
"puolivalmiste","6e+05"
"Ashes","6e+05"
"Dash","6e+05"
"spidey","6e+05"
"JumpierPegasus","6e+05"
"nawso","6e+05"
"Operation Ivy","6e+05"
"Mtstreaks04","6e+05"
"Moreorless89","6e+05"
"Durodo","6e+05"
"Aephino","6e+05"
"MuNk22","6e+05"
"Katth","6e+05"
"Gaia Mormont","6e+05"
"Salming","6e+05"
"Ronniewalker","6e+05"
"LtBlackGrizzly","6e+05"
"FaeFiyaa","6e+05"
"Dziadek93","6e+05"
"Voltagefusion","6e+05"
"Duilio05","6e+05"
"Weaves","6e+05"
"robstien","6e+05"
"Chara-zard","6e+05"
"CharethCutestory78","6e+05"
"hockeymil","6e+05"
"noahbogue","6e+05"
"unconfident69","6e+05"
"prattk1987","6e+05"
"jason97","6e+05"
"admiralballtr8s","6e+05"
"uhnp","6e+05"
"diacope","6e+05"
"McAl95","6e+05"
"laynr.h","6e+05"
"tomtommen","6e+05"
"TheGame052","6e+05"
"Urq660","6e+05"
"Stamkos Is My Dad","6e+05"
"Hoodz_91","6e+05"
"captainsb","6e+05"
"CptSquall","6e+05"
"NJBadApple","6e+05"
"By-Tor","6e+05"
"Palace_Posy524","6e+05"
"SauceM","6e+05"
"Vrain","6e+05"
"Ivornen","6e+05"
"iamslm22","6e+05"
"Dman2213","6e+05"
"CapnCooper","6e+05"
"bbjygm","6e+05"
"Vandy","6e+05"
"zeekthegeek","6e+05"
"Jajabinks","6e+05"
"anywheresoundsnice","6e+05"
"McLumberjack","6e+05"
"Back4Mor","6e+05"
"Gaunthor","6e+05"
"Gifter of Bikes","6e+05"
"LukeToussaint","6e+05"
"Lpapi","6e+05"
"Anthique","6e+05"
"Tmoney6996","6e+05"
"Brandon","6e+05"
"Dangles13","6e+05"
"scudmuffin19","6e+05"
"birb","6e+05"
"Norm McDangles","6e+05"
"jacobcarson877","6e+05"
"OrbitingDeath","6e+05"
"YetiTaz","6e+05"
"Obsolete","6e+05"
"leafsftw1967","6e+05"
"TubaDeus","6e+05"
"sofiem964","6e+05"
"Otis Boudreaux","6e+05"
"NoFace","6e+05"
"CementHands","6e+05"
"Thunder39","6e+05"
"slothfacekilla","6e+05"
"bluesfan55","6e+05"
"Soviet Sexpot","6e+05"
"Chris","6e+05"
"notoriousTRON","6e+05"
"synes7hesia","6e+05"
"Jexter","6e+05"
"Muerto","6e+05"
"retuperkele","6e+05"
"coastalsummitstudios","6e+05"
"FourFour","6e+05"
"schotte74","6e+05"
"5ympathies","6e+05"
"ViN","6e+05"
"PhuZeRK","6e+05"
"Rindiee","6e+05"
"Lorenzion","6e+05"
"eerku","6e+05"
"sc1zzO","6e+05"
"hhh81","6e+05"
"Gallade081","6e+05"
"Jakesdy","6e+05"
"Keven","6e+05"
"RoyRivers","6e+05"
"Chris-McZehrl","6e+05"
"AJW","6e+05"
"Definia","6e+05"
"JamesT","6e+05"
"WildfireMicro","6e+05"
"HoodRatRoyalty","6e+05"
"Happytimes","6e+05"
"Butters","6e+05"
"nasbase","6e+05"
"Troy_McClure03","6e+05"
"FingolfinandRingil","6e+05"
"CamGoldenGun","6e+05"
"Skeezer","6e+05"
"Leatherneckmike","6e+05"
"Tate","6e+05"
"leviadan","6e+05"
"GreekGod","6e+05"
"icewindoo","6e+05"
"ValorX77","6e+05"
"Nol15736","6e+05"
"jfv888","6e+05"
"Blambino","6e+05"
"Murtsi","6e+05"
"xNJRangerFanx","6e+05"
"tredpalo","6e+05"
